timestamp,source_ip,destination_ip,source_port,destination_port,protocol,bytes,status
2026-07-15 10:00:00,192.0.2.10,198.51.100.20,50000,80,TCP,600,SUCCESS
2026-07-15 10:00:01,192.0.2.10,198.51.100.20,50001,21,TCP,100,FAILED
2026-07-15 10:00:02,192.0.2.10,198.51.100.20,50002,22,TCP,100,FAILED
2026-07-15 10:00:03,192.0.2.10,198.51.100.20,50003,23,TCP,100,FAILED
2026-07-15 10:00:04,192.0.2.10,198.51.100.20,50004,25,TCP,100,FAILED
2026-07-15 10:02:00,203.0.113.15,198.51.100.30,51000,443,TCP,1500000,SUCCESS
2026-07-15 10:05:00,192.0.2.25,203.0.113.40,52000,22,TCP,120,FAILED
2026-07-15 10:05:02,192.0.2.25,203.0.113.40,52001,22,TCP,120,FAILED
2026-07-15 10:05:04,192.0.2.25,203.0.113.40,52002,22,TCP,120,FAILED
2026-07-15 10:07:00,192.0.2.55,198.51.100.45,53000,8080,TCP,500,SUCCESS
2026-07-15 10:08:00,192.0.2.70,198.51.100.53,54000,53,UDP,200,SUCCESS
2026-07-15 10:09:00,192.0.2.80,198.51.100.20,55000,443,TCP,900,SUCCESS
2026-07-15 10:12:00,192.0.2.90,198.51.100.60,56000,80,TCP,700,SUCCESS
2026-07-15 10:12:05,192.0.2.90,198.51.100.60,56001,443,TCP,1200,SUCCESS
2026-07-15 10:13:00,203.0.113.25,198.51.100.70,57000,53,UDP,180,SUCCESS
2026-07-15 10:15:00,192.0.2.100,198.51.100.80,58000,22,TCP,90,FAILED
2026-07-15 10:15:02,192.0.2.100,198.51.100.80,58001,22,TCP,90,FAILED
2026-07-15 10:15:04,192.0.2.100,198.51.100.80,58002,22,TCP,90,FAILED
2026-07-15 10:18:00,203.0.113.50,198.51.100.90,59000,80,TCP,300,SUCCESS
2026-07-15 10:18:01,203.0.113.50,198.51.100.90,59001,110,TCP,150,FAILED
2026-07-15 10:18:02,203.0.113.50,198.51.100.90,59002,143,TCP,150,FAILED
2026-07-15 10:18:03,203.0.113.50,198.51.100.90,59003,3389,TCP,150,FAILED
2026-07-15 10:18:04,203.0.113.50,198.51.100.90,59004,445,TCP,150,FAILED
2026-07-15 10:20:00,192.0.2.120,203.0.113.100,60000,443,TCP,2200000,SUCCESS
2026-07-15 10:22:00,198.51.100.110,203.0.113.120,61000,8443,TCP,850,SUCCESS
